employee_id,manager_id,attribute_id,attribute_score
263714,364300,1,5
263714,364300,2,4
263714,364300,3,4
263714,364300,4,4
122429,364300,1,5
122429,364300,2,4
122429,364300,3,None
122429,364300,4,4
435832,364300,1,5
435832,364300,2,3
435832,364300,3,3
435832,364300,4,5
166571,363713,1,3
166571,363713,2,3
166571,363713,3,5
166571,363713,4,4
114402,263715,1,2
114402,263715,2,2
114402,263715,3,4
114402,263715,4,5
367760,263715,1,3
367760,263715,2,5
367760,263715,3,2
367760,263715,4,3
978099,263715,1,5
978099,263715,2,4
978099,263715,3,3
978099,263715,4,5
357654,263715,1,2
357654,263715,2,5
357654,263715,3,4
357654,263715,4,3
458515,277165,1,4
458515,277165,2,4
458515,277165,3,3
458515,277165,4,1
657173,277165,1,4
657173,277165,2,4
657173,277165,3,5
657173,277165,4,3
244110,277165,1,3
244110,277165,2,1
244110,277165,3,1
244110,277165,4,5
782391,277165,1,1
782391,277165,2,3
782391,277165,3,4
782391,277165,4,1
472705,277165,1,2
472705,277165,2,4
472705,277165,3,4
472705,277165,4,5
374873,674876,1,1
374873,674876,2,1
374873,674876,3,3
374873,674876,4,1
767434,1067437,1,1
767434,1067437,2,1
767434,1067437,3,1
767434,1067437,4,2
147585,344293,1,3
147585,344293,2,3
147585,344293,3,2
147585,344293,4,3
123530,344293,1,1
123530,344293,2,2
123530,344293,3,1
123530,344293,4,3
550024,344293,1,1
550024,344293,2,1
550024,344293,3,2
550024,344293,4,1
335830,343706,1,1
335830,343706,2,1
335830,343706,3,2
335830,343706,4,3
728686,243708,1,3
728686,243708,2,None
728686,243708,3,3
728686,243708,4,2
969369,243708,1,2
969369,243708,2,1
969369,243708,3,3
969369,243708,4,3
581518,243708,1,2
581518,243708,2,4
581518,243708,3,5
581518,243708,4,5
797962,242715,1,4
797962,242715,2,4
797962,242715,3,5
797962,242715,4,5
917478,256165,1,4
917478,256165,2,4
917478,256165,3,4
917478,256165,4,4
388155,256165,1,5
388155,256165,2,5
388155,256165,3,4
388155,256165,4,5
514832,256165,1,4
514832,256165,2,4
514832,256165,3,2
514832,256165,4,3
728414,514833,1,4
728414,514833,2,3
728414,514833,3,4
728414,514833,4,2
664342,514833,1,1
664342,514833,2,2
664342,514833,3,1
664342,514833,4,2
145944,514833,1,4
145944,514833,2,1
145944,514833,3,1
145944,514833,4,5
415945,514833,1,5
415945,514833,2,3
415945,514833,3,2
415945,514833,4,1
876036,514833,1,3
876036,514833,2,4
876036,514833,3,4
876036,514833,4,5
680087,514833,1,3
680087,514833,2,4
680087,514833,3,5
680087,514833,4,2
381285,680081,1,5
381285,680081,2,1
381285,680081,3,5
381285,680081,4,4
847327,680081,1,3
847327,680081,2,3
847327,680081,3,3
847327,680081,4,5
590611,490611,1,4
590611,490611,2,1
590611,490611,3,3
590611,490611,4,1
292345,490611,1,5
